,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
44,2014,oklahoma st,0.52,28.146,0.27,0.70,0.517,0.977,0.584,0.636,0.3,35,14.6,11.2,1.112,115.4,0.957,94.4,0.155,21,80.3,69.1,11.2,1.144,1.005,0.139,0.465,0.407,0.058,0.368,0.724,0.486,0.105,0.144,0.196,0.052,0.083,0.271
45,2014,oregon,0.54,26.951,0.30,0.71,0.529,0.965,0.608,0.719,0.375,41,13.9,7.8,1.118,118.3,1.011,99.3,0.107,19,81.8,74,7.8,1.161,1.08,0.081,0.468,0.442,0.026,0.391,0.766,0.51,0.108,0.159,0.188,0.029,0.06,0.29
46,2014,pittsburgh,0.51,26.13,0.36,0.73,0.629,0.997,0.592,0.758,0.5,54,12.1,10.5,1.113,116.3,0.954,94.4,0.159,21.9,73.2,62.7,10.5,1.11,1.017,0.093,0.464,0.411,0.053,0.361,0.712,0.549,0.107,0.162,0.187,0.025,0.058,0.267
47,2014,providence,0.48,27.015,0.34,0.72,0.561,0.988,0.58,0.667,0.692,17,11.6,3.6,1.062,113.9,1.011,100.2,0.051,13.7,73.5,69.9,3.6,1.075,1.045,0.03,0.426,0.443,-0.017,0.352,0.778,0.528,0.081,0.171,0.16,-0.011,0.086,0.254
48,2014,saint louis,0.50,22.064,0.26,0.74,0.578,0.936,0.61,0.806,0.7,97,8.7,8.3,1.005,105.2,0.887,89.5,0.118,15.7,70.1,61.8,8.3,1.075,0.962,0.113,0.445,0.403,0.042,0.32,0.711,0.507,0.106,0.18,0.205,0.025,0.076,0.248
49,2014,san diego st,0.47,25.519,0.34,0.74,0.392,1.019,0.629,0.9,1,121,13.7,11.1,1.041,109.8,0.874,89.4,0.167,20.4,68.7,57.6,11.1,1.022,0.955,0.067,0.427,0.396,0.031,0.339,0.667,0.531,0.111,0.15,0.204,0.054,0.098,0.249
50,2014,st josephs,0.54,21.844,0.28,0.75,0.567,0.945,0.591,0.71,0.727,75,10.6,3.9,1.06,111.7,1.002,98.8,0.058,12.9,71.6,67.7,3.9,1.125,1.032,0.093,0.469,0.426,0.043,0.381,0.643,0.521,0.067,0.182,0.153,-0.029,0.081,0.232
51,2014,stanford,0.51,24.871,0.28,0.74,0.463,0.958,0.588,0.636,0.5,15,11.4,4.9,1.068,111.8,0.997,95.8,0.071,16,73.5,68.6,4.9,1.115,1.048,0.067,0.464,0.423,0.041,0.371,0.703,0.514,0.073,0.162,0.166,0.004,0.075,0.262
52,2014,ste f austin,0.52,24.196,0.37,0.73,0.623,1.003,0.572,0.933,1,332,8.1,12.6,1.135,111.7,0.947,100.9,0.188,10.8,76.1,63.5,12.6,1.12,1.096,0.024,0.461,0.459,0.002,0.354,0.712,0.532,0.105,0.164,0.24,0.076,0.068,0.314
53,2014,syracuse,0.48,23.844,0.38,0.70,0.491,1.042,0.624,0.844,0.7,37,10.4,8.7,1.093,114,0.954,92.5,0.139,21.5,68.2,59.5,8.7,1.045,1.03,0.015,0.437,0.412,0.025,0.335,0.703,0.528,0.129,0.143,0.214,0.071,0.1,0.254
54,2014,tennessee,0.50,25.538,0.39,0.76,0.496,1.022,0.586,0.645,0,74,18.8,9.6,1.096,117.3,0.948,93.6,0.148,23.7,71.2,61.5,9.7,1.071,0.99,0.081,0.443,0.411,0.032,0.333,0.706,0.56,0.079,0.165,0.166,0.001,0.088,0.264
55,2014,texas,0.47,24.516,0.39,0.72,0.493,1.017,0.597,0.697,0.8,25,10,4.1,1.038,111.2,0.98,96.7,0.058,14.5,74.1,70,4.1,1.025,1.006,0.019,0.431,0.399,0.032,0.324,0.664,0.548,0.081,0.171,0.161,-0.01,0.101,0.266
56,2014,tx southern,0.52,26.877,0.31,0.72,0.548,0.947,0.46,0.548,0.545,341,-2.1,2,1.056,106,1.028,113.5,0.028,-7.5,75,73,2,1.117,1.052,0.065,0.458,0.446,0.012,0.358,0.707,0.52,0.066,0.186,0.154,-0.032,0.058,0.233
57,2014,tulsa,0.49,24.94,0.29,0.74,0.511,0.965,0.556,0.625,0.667,127,11,5.6,1.025,105.5,0.947,96.6,0.078,8.9,73.2,67.6,5.6,1.065,1.025,0.04,0.44,0.405,0.035,0.322,0.682,0.504,0.098,0.161,0.199,0.038,0.071,0.3
58,2014,ucla,0.54,23.552,0.28,0.74,0.593,0.976,0.618,0.758,0.429,52,16.7,11.3,1.132,118.1,0.977,95.6,0.155,22.5,82,70.8,11.2,1.167,1.063,0.104,0.492,0.428,0.064,0.392,0.746,0.516,0.132,0.146,0.203,0.057,0.051,0.247
59,2014,vcu,0.48,20.334,0.33,0.72,0.498,1.001,0.627,0.781,0.4,73,16,10.3,1.025,108.6,0.886,88.8,0.139,19.8,75.4,65.2,10.2,1.025,1.02,0.005,0.419,0.428,-0.009,0.348,0.676,0.506,0.155,0.17,0.252,0.082,0.078,0.267
60,2014,villanova,0.54,25.267,0.32,0.75,0.601,0.97,0.646,0.875,0.875,13,17.4,11.9,1.112,115.7,0.943,92.1,0.169,23.6,78.5,66.6,11.9,1.154,1.016,0.138,0.459,0.407,0.052,0.361,0.712,0.528,0.098,0.167,0.196,0.029,0.073,0.279
61,2014,virginia,0.51,23.041,0.32,0.77,0.566,0.981,0.629,0.812,0.571,32,19.1,10.9,1.056,114.1,0.882,87.7,0.174,26.4,66.2,55.3,10.9,1.077,0.951,0.126,0.452,0.385,0.067,0.366,0.662,0.551,0.088,0.163,0.187,0.024,0.078,0.257
62,2014,weber state,0.54,27.514,0.27,0.73,0.551,0.926,0.505,0.593,0.429,304,-0.1,3.1,1.077,105.8,1.03,106.4,0.047,-0.6,71.3,68.2,3.1,1.175,1.03,0.145,0.47,0.438,0.032,0.391,0.734,0.518,0.058,0.19,0.136,-0.054,0.069,0.279
63,2014,w michigan,0.52,27.138,0.29,0.70,0.473,0.913,0.555,0.7,0.778,193,4.7,3.5,1.033,105.7,0.983,102.4,0.05,3.3,71.3,67.8,3.5,1.13,1.028,0.102,0.463,0.414,0.049,0.325,0.717,0.51,0.085,0.207,0.186,-0.021,0.062,0.264
64,2014,wichita st,0.52,27.411,0.34,0.78,0.544,0.991,0.653,1,1,125,18.3,15.1,1.121,117.1,0.896,91.8,0.225,25.3,74.9,59.9,15,1.131,0.965,0.166,0.457,0.393,0.064,0.347,0.729,0.556,0.102,0.156,0.179,0.023,0.096,0.253
65,2014,wisconsin,0.53,26.092,0.26,0.75,0.505,0.994,0.648,0.812,0.714,2,19.6,9.5,1.128,121.4,0.982,95.6,0.146,25.8,73.5,64,9.5,1.15,1.003,0.147,0.458,0.428,0.03,0.373,0.743,0.511,0.078,0.125,0.153,0.028,0.062,0.227
66,2014,wofford,0.49,18.617,0.29,0.72,0.512,0.979,0.506,0.586,0.571,316,0.7,2.3,1.023,100,0.987,101.9,0.036,-1.9,65.4,63.1,2.3,1.042,1.06,-0.018,0.439,0.448,-0.009,0.359,0.665,0.502,0.095,0.161,0.193,0.032,0.031,0.275
67,2014,xavier,0.52,23.021,0.32,0.73,0.572,0.957,0.575,0.636,0.8,11,11.5,4.3,1.065,112.2,1.002,99.1,0.063,13.1,72.2,67.9,4.3,1.107,1.049,0.058,0.471,0.427,0.044,0.355,0.688,0.532,0.086,0.182,0.166,-0.016,0.054,0.294
0,2015,albany,0.50,23.746,0.31,0.76,0.479,0.949,0.531,0.742,0.6,242,0.6,5.4,1.047,105.1,0.961,101.8,0.086,3.3,66,60.5,5.5,1.111,1.058,0.053,0.445,0.422,0.023,0.365,0.76,0.538,0.091,0.189,0.199,0.01,0.032,0.262
1,2015,arizona,0.54,27.02,0.34,0.81,0.524,0.981,0.659,0.909,0.571,55,27.9,17.5,1.111,117.9,0.856,85.5,0.255,32.4,76.3,58.8,17.5,1.142,0.969,0.173,0.488,0.392,0.096,0.359,0.7,0.564,0.105,0.164,0.206,0.042,0.071,0.261
2,2015,arkansas,0.50,22.773,0.35,0.68,0.592,0.995,0.609,0.781,0.636,69,12.4,8.5,1.081,112.7,0.965,96.2,0.116,16.5,79.1,70.6,8.5,1.089,1.054,0.035,0.45,0.431,0.019,0.353,0.724,0.504,0.109,0.161,0.221,0.06,0.086,0.257
3,2015,baylor,0.50,21.92,0.41,0.71,0.605,1.003,0.631,0.719,0.667,16,14.9,8.8,1.068,114.5,0.932,92.4,0.136,22.1,69.1,60.3,8.8,1.058,0.975,0.083,0.434,0.405,0.029,0.382,0.667,0.552,0.124,0.192,0.191,-0.001,0.072,0.258
4,2015,belmont,0.57,17.678,0.27,0.71,0.585,0.912,0.532,0.677,0.733,200,4.8,3.6,1.074,108.1,1.021,105.8,0.053,2.3,73.8,70.2,3.6,1.174,1.08,0.094,0.474,0.45,0.024,0.379,0.69,0.504,0.093,0.2,0.184,-0.016,0.034,0.239
5,2015,boise state,0.53,19.407,0.26,0.76,0.483,0.955,0.58,0.742,0.625,134,11.6,8.9,1.079,109.7,0.941,95.9,0.138,13.8,69.9,60.9,9,1.133,1.017,0.116,0.453,0.419,0.034,0.391,0.728,0.513,0.092,0.158,0.191,0.033,0.045,0.265
6,2015,buffalo,0.49,25.266,0.32,0.72,0.517,0.99,0.591,0.71,0.5,95,8.5,6.8,1.054,109.2,0.958,97.3,0.096,11.9,74.5,67.8,6.7,1.06,1.022,0.038,0.433,0.42,0.013,0.336,0.725,0.52,0.109,0.161,0.194,0.033,0.069,0.259
7,2015,butler,0.48,23.055,0.31,0.77,0.475,0.979,0.594,0.688,0.667,30,12.6,8.4,1.035,108.1,0.911,88,0.124,20.1,69.6,61.2,8.4,1.054,1.004,0.05,0.439,0.416,0.023,0.358,0.68,0.548,0.095,0.169,0.187,0.018,0.056,0.261
8,2015,byu,0.53,26.267,0.31,0.74,0.604,0.968,0.586,0.719,0.5,93,13.8,8.9,1.121,117.2,0.999,100.5,0.122,16.7,81.8,72.9,8.9,1.154,1.069,0.085,0.46,0.442,0.018,0.385,0.77,0.531,0.098,0.166,0.182,0.016,0.05,0.281
9,2015,cincinnati,0.50,20.095,0.36,0.70,0.518,0.957,0.582,0.688,0.286,84,6.9,7.1,1.011,106,0.896,91.9,0.115,14.1,62.4,55.3,7.1,1.07,0.941,0.129,0.453,0.39,0.063,0.333,0.674,0.539,0.106,0.207,0.197,-0.01,0.104,0.238
10,2015,coastal car,0.50,22.881,0.33,0.74,0.459,0.983,0.521,0.69,0.667,346,3.6,5.8,1.061,104.7,0.974,102.3,0.087,2.4,70.5,64.7,5.8,1.074,1.022,0.052,0.438,0.405,0.033,0.354,0.703,0.539,0.095,0.173,0.166,-0.007,0.06,0.253
11,2015,davidson,0.55,17.306,0.28,0.71,0.609,0.99,0.594,0.793,0.6,101,17.4,11.1,1.152,117.6,0.991,102.7,0.161,14.9,79.4,68.2,11.2,1.166,1.023,0.143,0.472,0.44,0.032,0.397,0.702,0.506,0.078,0.14,0.17,0.03,0.05,0.268
12,2015,dayton,0.53,24.432,0.20,0.74,0.605,0.911,0.591,0.774,0.727,92,8.2,7.8,1.04,107.2,0.921,93,0.119,14.2,68.7,60.9,7.8,1.14,1.004,0.136,0.467,0.421,0.046,0.36,0.68,0.493,0.102,0.174,0.203,0.029,0.049,0.243
13,2015,duke,0.57,23.029,0.35,0.72,0.541,0.991,0.662,0.879,0.778,10,22.1,15,1.178,122.5,0.958,90,0.22,32.5,80.6,65.6,15,1.188,1.002,0.186,0.502,0.429,0.073,0.386,0.691,0.543,0.105,0.164,0.184,0.02,0.064,0.234
14,2015,e washingtn,0.55,20.984,0.27,0.71,0.458,0.967,0.551,0.733,0.636,294,-0.5,5.1,1.132,110.9,1.059,107.6,0.073,3.3,79.7,74.6,5.1,1.168,1.108,0.06,0.469,0.453,0.016,0.4,0.711,0.494,0.089,0.155,0.174,0.019,0.081,0.257
15,2015,georgetown,0.51,24.4,0.33,0.72,0.534,0.96,0.605,0.677,0.545,8,12.2,6.1,1.05,112.1,0.96,93,0.09,19.1,70.7,64.6,6.1,1.098,1.027,0.071,0.455,0.403,0.052,0.347,0.702,0.521,0.115,0.186,0.2,0.014,0.094,0.299
16,2015,georgia,0.49,25.435,0.31,0.75,0.55,0.951,0.586,0.677,0.636,24,11.1,4.6,1.01,107.4,0.942,92.3,0.068,15.1,69,64.3,4.7,1.073,0.97,0.103,0.438,0.388,0.05,0.342,0.692,0.531,0.082,0.188,0.164,-0.024,0.083,0.27
17,2015,georgia st,0.52,22.241,0.28,0.67,0.522,0.962,0.561,0.7,0.375,221,10.2,8.5,1.066,109.4,0.939,99.1,0.127,10.3,71.3,62.8,8.5,1.125,0.997,0.128,0.48,0.383,0.097,0.327,0.732,0.493,0.13,0.158,0.222,0.064,0.082,0.275
18,2015,gonzaga,0.58,21.726,0.32,0.75,0.57,0.973,0.643,0.939,0.333,89,16.2,17.1,1.167,119.7,0.911,92,0.256,27.7,78.2,61.1,17.1,1.214,0.94,0.274,0.519,0.387,0.132,0.409,0.689,0.549,0.09,0.159,0.171,0.012,0.058,0.256
19,2015,hampton,0.46,22.297,0.30,0.73,0.467,0.945,0.45,0.469,0.545,279,-2,-1.5,0.935,94.6,0.956,102,-0.021,-7.4,66.7,68.2,-1.5,0.991,1.023,-0.032,0.407,0.412,-0.005,0.301,0.648,0.507,0.092,0.203,0.195,-0.008,0.077,0.305
20,2015,harvard,0.47,22.763,0.31,0.76,0.562,0.966,0.564,0.731,0.833,186,4.7,5.1,0.989,102.8,0.91,93.6,0.079,9.2,63.5,58.4,5.1,1.034,0.989,0.045,0.427,0.407,0.02,0.341,0.721,0.526,0.105,0.184,0.195,0.011,0.09,0.246
21,2015,indiana,0.54,19.977,0.33,0.71,0.508,0.98,0.567,0.606,0.444,53,11.3,6.1,1.126,117.7,1.038,103.9,0.088,13.8,77.5,71.4,6.1,1.147,1.063,0.084,0.466,0.455,0.011,0.404,0.715,0.525,0.074,0.166,0.157,-0.009,0.055,0.254
22,2015,iowa,0.48,23.731,0.34,0.72,0.587,0.993,0.579,0.656,0.429,26,16.8,7.5,1.041,112,0.928,93,0.113,19,69.4,61.9,7.5,1.053,0.973,0.08,0.427,0.392,0.035,0.332,0.745,0.529,0.098,0.169,0.188,0.019,0.084,0.239
23,2015,iowa state,0.54,20.737,0.27,0.72,0.581,0.962,0.63,0.75,0.636,6,17.8,9.2,1.102,116.9,0.972,95.5,0.13,21.4,78.6,69.4,9.2,1.156,1.018,0.138,0.482,0.419,0.063,0.371,0.697,0.508,0.088,0.157,0.181,0.024,0.062,0.217
24,2015,kansas,0.49,24.757,0.33,0.70,0.545,0.963,0.676,0.788,0.636,1,17.1,6.8,1.041,112.5,0.941,89.8,0.1,22.7,71.4,64.5,6.9,1.077,0.959,0.118,0.442,0.393,0.049,0.374,0.714,0.527,0.097,0.186,0.173,-0.013,0.089,0.256
25,2015,kentucky,0.52,26.547,0.39,0.72,0.55,1.014,0.678,1,1,32,25.7,21,1.12,119.4,0.803,82.5,0.317,36.9,74.3,53.3,21,1.106,0.861,0.245,0.465,0.352,0.113,0.34,0.714,0.552,0.101,0.159,0.217,0.058,0.127,0.252
26,2015,lafayette,0.56,18.949,0.26,0.67,0.585,0.936,0.524,0.613,0.636,203,-3.8,1.1,1.108,110.9,1.092,113,0.016,-2.1,73.6,72.6,1,1.188,1.106,0.082,0.489,0.459,0.03,0.414,0.765,0.483,0.082,0.171,0.17,-0.001,0.044,0.238
27,2015,louisville,0.48,21.855,0.34,0.71,0.477,1.004,0.61,0.75,0.6,18,11.2,9.7,1.022,108.2,0.879,86.9,0.143,21.3,69.2,59.5,9.7,1.024,0.94,0.084,0.429,0.388,0.041,0.304,0.66,0.519,0.121,0.175,0.214,0.039,0.101,0.262
28,2015,lsu,0.50,18.705,0.32,0.69,0.578,0.944,0.567,0.688,0.545,72,13.1,6,1.009,106.7,0.927,93,0.082,13.7,73.7,67.7,6,1.07,0.955,0.115,0.456,0.401,0.055,0.339,0.689,0.515,0.101,0.2,0.188,-0.012,0.1,0.217
29,2015,manhattan,0.49,24.276,0.29,0.69,0.608,0.911,0.504,0.594,0.5,165,5.2,2.4,0.98,99.8,0.947,99.5,0.033,0.3,69.9,67.5,2.4,1.08,1.063,0.017,0.434,0.436,-0.002,0.34,0.694,0.486,0.114,0.213,0.242,0.029,0.055,0.321
30,2015,maryland,0.51,25.606,0.27,0.72,0.481,0.93,0.632,0.844,1,38,11.6,6.6,1.042,109.3,0.944,93.5,0.098,15.8,69.8,63.3,6.5,1.12,0.963,0.157,0.439,0.395,0.044,0.372,0.757,0.512,0.073,0.179,0.168,-0.011,0.073,0.246
31,2015,michigan st,0.53,17.401,0.33,0.76,0.637,0.98,0.602,0.688,0.375,21,17.5,9.2,1.08,114.5,0.943,92.4,0.137,22.1,72.3,63.1,9.2,1.109,0.994,0.115,0.471,0.397,0.074,0.388,0.627,0.55,0.081,0.174,0.166,-0.008,0.087,0.278
32,2015,mississippi,0.48,23.639,0.33,0.71,0.532,0.989,0.568,0.625,0.333,54,7.5,5.1,1.049,112.5,0.975,98.6,0.074,13.9,72.6,67.5,5.1,1.066,1.02,0.046,0.426,0.4,0.026,0.338,0.778,0.519,0.095,0.165,0.183,0.018,0.067,0.283
33,2015,nc state,0.49,20.794,0.33,0.72,0.464,1,0.581,0.606,0.3,14,13.4,5,1.056,112.8,0.981,96.8,0.075,16,70.4,65.4,5,1.057,0.99,0.067,0.437,0.403,0.034,0.361,0.683,0.524,0.059,0.158,0.15,-0.008,0.093,0.264
34,2015,n mex st,,,,,,,0.53,0.667,0.5,289,4.2,7.9,1.046,105.2,0.924,98.6,0.122,6.6,67.6,59.7,7.9,1.094,0.988,0.106,0.462,0.425,0.037,0.358,0.705,0.55,0.097,0.216,0.2,-0.016,0.07,0.248
35,2015,n carolina,0.52,20.998,0.38,0.71,0.602,0.987,0.629,0.706,0.571,2,19.4,10,1.081,117.1,0.941,93.2,0.14,23.9,77.8,67.8,10,1.09,0.976,0.114,0.474,0.394,0.08,0.348,0.701,0.555,0.093,0.176,0.173,-0.003,0.075,0.266
36,2015,n dakota st,0.50,20.192,0.24,0.79,0.418,0.958,0.541,0.7,0.778,259,1.4,2.3,1.009,101.7,0.973,100.3,0.036,1.4,63.9,61.6,2.3,1.054,1.033,0.021,0.425,0.418,0.007,0.378,0.694,0.515,0.072,0.157,0.162,0.005,0.071,0.24
37,2015,n florida,0.54,22.623,0.27,0.71,0.543,0.939,0.507,0.645,0.167,310,3.3,5.4,1.067,106.3,0.989,104.1,0.078,2.2,73.9,68.5,5.4,1.144,1.021,0.123,0.456,0.435,0.021,0.38,0.728,0.494,0.088,0.176,0.178,0.002,0.068,0.239
38,2015,northeastrn,0.55,22.605,0.28,0.77,0.597,0.901,0.543,0.676,0.5,127,3.5,3.6,1.046,106.1,0.991,101,0.055,5.1,68.6,65,3.6,1.163,1.039,0.124,0.486,0.445,0.041,0.388,0.724,0.539,0.081,0.209,0.153,-0.056,0.068,0.217
39,2015,n iowa,0.56,22.637,0.25,0.76,0.532,0.928,0.622,0.909,0.75,104,13.4,11.1,1.095,114.1,0.91,93.2,0.185,20.9,65.4,54.3,11.1,1.19,0.97,0.22,0.483,0.391,0.092,0.398,0.726,0.52,0.1,0.176,0.189,0.013,0.05,0.241
40,2015,notre dame,0.58,22.323,0.26,0.70,0.549,0.966,0.612,0.849,0.7,71,15.1,13.3,1.185,123.4,0.983,98.5,0.202,24.9,78.5,65.2,13.3,1.224,1.007,0.217,0.509,0.423,0.086,0.389,0.733,0.502,0.103,0.14,0.17,0.03,0.062,0.215
41,2015,ohio state,0.54,19.777,0.32,0.70,0.554,0.975,0.582,0.697,0.5,51,13.8,13.4,1.115,113.6,0.917,92.8,0.198,20.8,75.8,62.4,13.4,1.14,0.994,0.146,0.486,0.405,0.081,0.372,0.678,0.52,0.116,0.167,0.215,0.048,0.092,0.236
42,2015,oklahoma,0.49,20.357,0.30,0.71,0.486,0.968,0.615,0.688,0.375,3,15.9,9.2,1.024,110.4,0.893,87.7,0.131,22.7,71.9,62.8,9.1,1.064,0.936,0.128,0.437,0.385,0.052,0.343,0.735,0.509,0.098,0.173,0.197,0.024,0.085,0.233
43,2015,oklahoma st,0.50,22.228,0.25,0.70,0.501,0.928,0.574,0.567,0.5,22,10.1,3.6,1.006,109.6,0.951,94.7,0.055,14.9,66.5,62.9,3.6,1.086,1.008,0.078,0.434,0.405,0.029,0.346,0.731,0.477,0.117,0.181,0.207,0.026,0.096,0.291
44,2015,oregon,0.52,18.724,0.28,0.71,0.509,0.957,0.599,0.75,1,75,15.3,5,1.069,113.1,0.998,99.2,0.071,13.9,75.7,70.7,5,1.114,1.023,0.091,0.46,0.42,0.04,0.365,0.765,0.507,0.08,0.165,0.164,-0.001,0.073,0.263
45,2015,providence,0.48,23.458,0.32,0.73,0.572,0.969,0.608,0.667,0.75,9,13.7,4.7,1.031,110.5,0.962,93.8,0.069,16.7,70.2,65.5,4.7,1.057,1.037,0.02,0.442,0.421,0.021,0.31,0.71,0.528,0.106,0.174,0.19,0.016,0.087,0.27
46,2015,purdue,0.50,22.748,0.35,0.73,0.611,0.959,0.568,0.656,0.667,46,12.8,6.3,1.037,108.8,0.945,94.9,0.092,13.9,70.6,64.3,6.3,1.091,0.991,0.1,0.455,0.398,0.057,0.33,0.682,0.535,0.081,0.194,0.175,-0.019,0.096,0.279
47,2015,rob morris,0.50,20.072,0.29,0.65,0.501,0.93,0.502,0.576,0.636,217,1.3,1.3,0.999,101,0.98,102.4,0.019,-1.4,69,67.7,1.3,1.082,1.033,0.049,0.446,0.424,0.022,0.38,0.714,0.48,0.124,0.204,0.217,0.013,0.053,0.268
48,2015,san diego st,0.47,19.242,0.34,0.73,0.466,0.983,0.605,0.781,0.778,91,11.7,8.6,0.98,102.8,0.845,86.9,0.135,15.9,62.1,53.5,8.6,0.995,0.922,0.073,0.421,0.378,0.043,0.324,0.625,0.526,0.108,0.184,0.21,0.026,0.095,0.227
49,2015,s methodist,0.52,24.326,0.35,0.74,0.63,0.962,0.619,0.8,1,102,10.1,9.6,1.074,111,0.926,93.5,0.148,17.5,69.7,60,9.7,1.132,0.984,0.148,0.487,0.425,0.062,0.363,0.704,0.55,0.108,0.196,0.2,0.004,0.075,0.25
50,2015,st. johns,0.49,20.162,0.26,0.67,0.484,0.969,0.586,0.645,0.4,45,9.2,3.3,1.012,108.6,0.965,94.9,0.047,13.7,70.5,67.2,3.3,1.055,0.983,0.072,0.44,0.404,0.036,0.351,0.691,0.47,0.107,0.152,0.189,0.037,0.112,0.253
51,2015,ste f austin,0.56,24.361,0.36,0.73,0.647,0.95,0.586,0.862,0.667,326,8.5,13.5,1.135,111.7,0.941,103.9,0.194,7.8,78.8,65.3,13.5,1.193,1.076,0.117,0.493,0.445,0.048,0.383,0.729,0.541,0.106,0.199,0.241,0.042,0.067,0.311
52,2015,texas,0.49,21.754,0.37,0.76,0.555,0.97,0.579,0.606,0.333,11,14.7,7.5,1.032,110.3,0.918,91.4,0.114,18.9,67.9,60.4,7.5,1.067,0.921,0.146,0.436,0.368,0.068,0.339,0.724,0.56,0.057,0.194,0.137,-0.057,0.14,0.245
53,2015,tx southern,0.50,23.84,0.30,0.68,0.458,0.941,0.522,0.636,0.636,239,-2.1,0.6,1.003,101.9,0.993,105.8,0.01,-3.9,68.4,67.7,0.7,1.067,1.031,0.036,0.446,0.441,0.005,0.322,0.66,0.5,0.092,0.192,0.181,-0.011,0.055,0.254
54,2015,uab,0.48,21.293,0.32,0.69,0.59,0.952,0.515,0.531,0.417,137,-0.3,0.4,0.977,102.9,0.97,99.8,0.007,3.1,67.9,67.5,0.4,1.04,1.011,0.029,0.425,0.421,0.004,0.326,0.741,0.507,0.096,0.2,0.193,-0.007,0.092,0.257
55,2015,uc irvine,0.51,17.161,0.29,0.70,0.56,0.954,0.536,0.6,0.375,168,2.7,3.2,1.015,104.2,0.967,97.1,0.048,7.1,66.8,63.6,3.2,1.068,0.98,0.088,0.448,0.399,0.049,0.388,0.684,0.506,0.086,0.177,0.169,-0.008,0.085,0.263
56,2015,ucla,0.50,20.285,0.32,0.74,0.535,0.978,0.573,0.606,0.6,33,13.2,4,1.034,110.8,0.977,96.1,0.057,14.7,72,68,4,1.052,1.042,0.01,0.441,0.418,0.023,0.363,0.676,0.527,0.098,0.171,0.181,0.01,0.066,0.257
57,2015,utah,0.55,23.949,0.30,0.75,0.572,0.948,0.613,0.742,0.4,68,16.3,14.5,1.112,114.5,0.887,87.2,0.225,27.3,71.7,57.2,14.5,1.174,0.933,0.241,0.48,0.382,0.098,0.402,0.702,0.534,0.09,0.174,0.179,0.005,0.097,0.263
58,2015,valparaiso,0.51,20.441,0.33,0.76,0.516,0.961,0.572,0.833,0.778,265,4.4,8.7,1.045,105.3,0.912,94.2,0.133,11.1,68.4,59.7,8.7,1.091,0.975,0.116,0.451,0.388,0.063,0.381,0.687,0.545,0.086,0.185,0.182,-0.003,0.082,0.254
59,2015,vcu,0.49,20.872,0.30,0.72,0.509,1,0.611,0.727,0.5,64,5.1,6.6,1.032,109,0.937,92.8,0.095,16.2,71.9,65.3,6.6,1.028,1.063,-0.035,0.418,0.434,-0.016,0.336,0.649,0.487,0.142,0.151,0.238,0.087,0.084,0.272
60,2015,villanova,0.55,24.538,0.32,0.73,0.622,0.976,0.667,0.939,0.833,40,25.9,15.3,1.131,120.6,0.904,89.9,0.227,30.7,76.5,61.2,15.3,1.176,0.979,0.197,0.469,0.406,0.063,0.389,0.728,0.515,0.116,0.159,0.212,0.053,0.074,0.246
61,2015,virginia,0.51,21.782,0.34,0.78,0.535,1.003,0.657,0.906,0.667,23,17.4,14.6,1.086,113.6,0.844,83.5,0.242,30.1,65.3,50.8,14.5,1.094,0.899,0.195,0.463,0.362,0.101,0.361,0.723,0.561,0.093,0.157,0.176,0.019,0.086,0.237
62,2015,w virginia,0.46,23.029,0.39,0.70,0.567,1.018,0.605,0.719,0.714,7,9.9,7.1,1.035,110.5,0.936,92.8,0.099,17.7,73.9,66.8,7.1,1.005,1.136,-0.131,0.412,0.468,-0.056,0.318,0.66,0.523,0.153,0.183,0.274,0.091,0.061,0.327
63,2015,wichita st,0.50,21.898,0.33,0.77,0.55,1.009,0.616,0.871,0.6,112,15.1,12.8,1.082,113.7,0.88,91.6,0.202,22.1,68.6,55.8,12.8,1.078,0.983,0.095,0.443,0.401,0.042,0.359,0.692,0.534,0.111,0.148,0.209,0.061,0.078,0.262
64,2015,wisconsin,0.55,24.261,0.31,0.79,0.496,1.015,0.663,0.906,0.667,12,21.6,15.8,1.175,127,0.916,93.3,0.259,33.7,71.7,55.9,15.8,1.162,0.973,0.189,0.48,0.418,0.062,0.351,0.757,0.553,0.073,0.124,0.162,0.038,0.068,0.2
65,2015,wofford,0.51,20.901,0.28,0.74,0.563,0.957,0.575,0.812,0.833,231,3.7,5.8,1.037,103,0.946,96.3,0.091,6.7,65.9,60.1,5.8,1.096,1.02,0.076,0.455,0.42,0.035,0.371,0.69,0.508,0.101,0.169,0.197,0.028,0.05,0.268
66,2015,wyoming,0.52,21.4,0.20,0.76,0.666,0.898,0.55,0.71,0.7,178,0,4.6,1.005,102.7,0.931,97.1,0.074,5.6,62,57.4,4.6,1.119,0.999,0.12,0.46,0.409,0.051,0.32,0.708,0.496,0.093,0.184,0.178,-0.006,0.057,0.228
